ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count
ADSW,2020/4/24,2020/6/4,"[8, 15, 22, 30, 49, 56, 60, 64]","[14, 21]","['2020-05-06', '2020-05-15', '2020-05-27', '2020-06-08', '2020-07-06', '2020-07-15', '2020-07-21', '2020-07-27']","['2020-06-24', '2020-07-06']","[1.5999999999999999, 0.75, 0.375, 0.375, 0.25, 0.375, 0.125, 0.0]","[2.8, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0]",89,84
ADT,2019/10/2,2020/7/9,"[24, 40, 45, 49, 63, 77, 91, 96, 104, 121, 134, 144, 152, 171, 178, 188, 198]",[12],"['2019-11-05', '2019-11-27', '2019-12-05', '2019-12-11', '2020-01-02', '2020-01-23', '2020-02-12', '2020-02-20', '2020-03-03', '2020-03-26', '2020-04-15', '2020-04-29', '2020-05-11', '2020-06-08', '2020-06-17', '2020-07-01', '2020-07-16']",['2020-07-27'],"[1.3294117647058823, 0.0, 0.4117647058823529, 0.11764705882352941, 0.23529411764705882, 0.35294117647058826, 0.17647058823529413, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",56,54
ADX,2018/8/9,2020/6/29,"[14, 24, 30, 34, 48, 64, 70, 80, 111, 123, 135, 140, 153, 165, 181, 193, 208, 217, 225, 244, 253, 257, 270, 274, 280, 287, 291, 321, 330, 348, 366, 384, 392, 412, 419, 424, 432, 441, 459, 470, 490]","[7, 18]","['2018-08-29', '2018-09-13', '2018-09-21', '2018-09-27', '2018-10-17', '2018-11-08', '2018-11-16', '2018-12-03', '2019-01-18', '2019-02-06', '2019-02-25', '2019-03-04', '2019-03-21', '2019-04-08', '2019-05-01', '2019-05-17', '2019-06-10', '2019-06-21', '2019-07-03', '2019-07-31', '2019-08-13', '2019-08-19', '2019-09-06', '2019-09-12', '2019-09-20', '2019-10-01', '2019-10-07', '2019-11-18', '2019-12-02', '2019-12-27', '2020-01-24', '2020-02-20', '2020-03-03', '2020-03-31', '2020-04-09', '2020-04-17', '2020-04-29', '2020-05-12', '2020-06-08', '2020-06-23', '2020-07-22']","['2020-07-09', '2020-07-24']","[1.4268292682926829, 0.0975609756097561, 0.4634146341463415, 0.2926829268292683, 0.21951219512195122, 0.24390243902439024, 0.12195121951219512, 0.024390243902439025]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",590,624
AEB,2020/6/17,2019/6/28,[12],"[4, 35, 44, 53, 70, 77, 87, 91, 99, 108, 114, 132, 140, 168, 177, 182, 204, 221, 231, 242, 253, 259]",['2020-07-06'],"['2019-07-05', '2019-08-19', '2019-08-30', '2019-09-13', '2019-10-08', '2019-10-17', '2019-10-31', '2019-11-06', '2019-11-18', '2019-12-02', '2019-12-10', '2020-01-07', '2020-01-17', '2020-02-28', '2020-03-12', '2020-03-19', '2020-04-21', '2020-05-14', '2020-05-29', '2020-06-15', '2020-06-30', '2020-07-09']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.6272727272727274, 0.13636363636363635, 0.4090909090909091, 0.13636363636363635, 0.4090909090909091, 0.045454545454545456, 0.18181818181818182, 0.0]",307,328
AEE,2020/7/6,2020/6/4,[14],"[7, 15, 24]",['2020-07-24'],"['2020-06-15', '2020-06-25', '2020-07-09']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.3333333333333335, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",515,512
AEFC,2020/3/26,2020/6/15,"[16, 24, 51, 77]","[7, 11, 24]","['2020-04-20', '2020-04-30', '2020-06-09', '2020-07-16']","['2020-06-24', '2020-06-30', '2020-07-20']","[1.7, 1.0, 0.5, 0.0, 0.25, 0.5, 0.25, 0.0]","[1.7, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",13,17
AEG,2020/7/6,2020/3/16,[7],"[14, 36, 42, 48, 67, 72, 80]",['2020-07-15'],"['2020-04-03', '2020-05-06', '2020-05-14', '2020-05-22', '2020-06-19', '2020-06-26', '2020-07-09']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.114285714285714, 1.0, 0.5714285714285714, 0.14285714285714285, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.0]",712,699
AEL,2020/6/16,2020/6/26,"[11, 21]",[7],"['2020-07-01', '2020-07-16']",['2020-07-08'],"[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",360,387
AEM,2020/5/8,2019/7/16,"[6, 14, 23, 31, 42]","[12, 20, 24, 42, 54, 65, 84, 88, 94, 103, 111, 118, 126, 136, 144, 150, 157, 168, 177, 193, 201, 218, 225, 231, 240, 251]","['2020-05-18', '2020-05-29', '2020-06-11', '2020-06-23', '2020-07-09']","['2019-08-01', '2019-08-13', '2019-08-19', '2019-09-13', '2019-10-01', '2019-10-16', '2019-11-12', '2019-11-18', '2019-11-26', '2019-12-10', '2019-12-20', '2020-01-02', '2020-01-14', '2020-01-29', '2020-02-10', '2020-02-19', '2020-02-28', '2020-03-16', '2020-03-27', '2020-04-21', '2020-05-01', '2020-05-27', '2020-06-05', '2020-06-15', '2020-06-26', '2020-07-14']","[1.48, 1.0, 0.4, 0.0, 0.4, 0.0, 0.0, 0.0]","[1.5653846153846154, 0.2692307692307692, 0.5769230769230769, 0.19230769230769232, 0.19230769230769232, 0.23076923076923078, 0.23076923076923078, 0.0]",795,776
AEO,2020/6/16,2020/4/24,"[13, 21]","[14, 24, 33, 45, 55, 64]","['2020-07-06', '2020-07-16']","['2020-05-14', '2020-05-29', '2020-06-11', '2020-06-29', '2020-07-14', '2020-07-27']","[2.05, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5]","[1.6833333333333333, 0.8333333333333334, 0.5, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]",604,579
