ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,signal
MVF,2020/6/4,2020/6/11,"[14, 25]","[12, 34]","['2020-06-24', '2020-07-10']","['2020-06-29', '2020-07-30']","[1.55, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]","[1.55, 1.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5]",20,22,2020/8/10,46,41,0.001518731,T
BGY,2020/4/20,2020/6/15,"[7, 12, 16, 45, 53, 64, 72]","[9, 20, 28]","['2020-04-29', '2020-05-06', '2020-05-12', '2020-06-23', '2020-07-06', '2020-07-21', '2020-07-31']","['2020-06-26', '2020-07-14', '2020-07-24']","[1.5142857142857142, 1.0, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.2857142857142857, 0.0]","[1.5, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]",29,34,2020/8/10,78,39,0.001521398,T
IRR,2020/5/27,2020/2/28,"[8, 17, 24, 34, 42]","[13, 36, 45, 53, 63, 72, 94, 98]","['2020-06-08', '2020-06-19', '2020-06-30', '2020-07-15', '2020-07-27']","['2020-03-18', '2020-04-21', '2020-05-04', '2020-05-14', '2020-05-29', '2020-06-11', '2020-07-14', '2020-07-20']","[1.5000000000000002, 1.0, 0.4, 0.0, 0.2, 0.4, 0.2, 0.2]","[1.6625, 0.625, 0.5, 0.125, 0.25, 0.125, 0.25, 0.125]",31,31,2020/8/10,52,113,0.001529612,T
DSE,2020/7/1,2020/5/14,[15],"[19, 30, 42, 50, 56]",['2020-07-23'],"['2020-06-11', '2020-06-26', '2020-07-15', '2020-07-27', '2020-08-04']","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[1.78, 0.8, 0.4, 0.4, 0.4, 0.2, 0.0, 0.0]",32,33,2020/8/10,27,60,0.001534966,T
EOD,2020/2/20,2020/5/14,"[9, 25, 48, 57, 77, 87]","[21, 30, 41, 49, 54]","['2020-03-04', '2020-03-26', '2020-04-29', '2020-05-12', '2020-06-10', '2020-06-24']","['2020-06-15', '2020-06-26', '2020-07-14', '2020-07-24', '2020-07-31']","[1.6333333333333333, 0.8333333333333334, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[1.82, 0.8, 0.6, 0.2, 0.4, 0.0, 0.0, 0.0]",32,32,2020/8/10,119,60,0.00154055,T
EDD,2020/7/6,2020/2/28,"[7, 12]","[14, 53, 72, 84, 92, 98, 102]","['2020-07-15', '2020-07-22']","['2020-03-19', '2020-05-14', '2020-06-11', '2020-06-29', '2020-07-10', '2020-07-20', '2020-07-24']","[2.3, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0]","[1.8142857142857145, 0.5714285714285714, 0.42857142857142855, 0.0, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.0]",31,30,2020/8/10,25,113,0.001616967,T
MFM,2020/4/13,2020/6/11,[45],"[12, 24]",['2020-06-16'],"['2020-06-29', '2020-07-16']","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[2.55, 1.0, 1.0, 0.0, 0.0, 0.5, 1.0, 0.0]",20,25,2020/8/10,83,41,0.0016198,T
MMT,2020/6/5,2020/7/1,"[12, 20, 40]","[8, 24]","['2020-06-23', '2020-07-06', '2020-08-03']","['2020-07-14', '2020-08-05']","[1.5, 1.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0]","[1.6, 1.0, 0.5, 0.0, 0.0, 1.0, 0.5, 0.0]",29,28,2020/8/10,45,27,0.001623521,T
NCZ,2020/6/5,2019/6/25,[7],"[10, 24, 45, 57, 70, 105, 118, 148, 160, 171, 180, 185, 196, 207, 216, 224, 245, 255, 265, 273]",['2020-06-16'],"['2019-07-10', '2019-07-30', '2019-08-28', '2019-09-16', '2019-10-03', '2019-11-21', '2019-12-11', '2020-01-27', '2020-02-12', '2020-02-28', '2020-03-12', '2020-03-19', '2020-04-03', '2020-04-21', '2020-05-04', '2020-05-14', '2020-06-15', '2020-06-29', '2020-07-14', '2020-07-24']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.77, 0.05, 0.5, 0.5, 0.3, 0.2, 0.15, 0.0]",25,31,2020/8/10,45,284,0.001668093,T
NUV,2019/8/13,2020/5/14,"[12, 35, 51, 57, 78, 90, 95, 105, 124, 134, 140, 156, 166, 203, 208, 230]","[15, 21]","['2019-08-29', '2019-10-02', '2019-10-24', '2019-11-01', '2019-12-03', '2019-12-19', '2019-12-27', '2020-01-13', '2020-02-10', '2020-02-25', '2020-03-04', '2020-03-26', '2020-04-09', '2020-06-03', '2020-06-10', '2020-07-13']","['2020-06-05', '2020-06-15']","[1.48125, 0.25, 0.4375, 0.375, 0.25, 0.0625, 0.125, 0.0]","[2.75, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0]",29,29,2020/8/10,250,60,0.001670152,T
